ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
INTU,Intuit Inc.,Technology,Software - Application,673.63,187538587648,4.0,4.5,0,8.5,True,0.67
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,483.16,3591408713728,4.0,4.5,0,8.5,True,0.75
ORCL,Oracle Corporation,Technology,Software - Infrastructure,217.58,620275499008,4.0,4.5,0,8.5,True,0.92
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,261.63,105983565824,4.0,4.5,0,8.5,True,2.6
ROP,"Roper Technologies, Inc.",Technology,Software - Application,447.56,48174206976,4.0,4.0,0,8.0,True,0.81
PAYX,"Paychex, Inc.",Technology,Software - Application,112.06,40329736192,4.0,4.0,0,8.0,True,3.86
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,117.27,23409246208,4.0,4.0,0,8.0,True,1.77
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,53.95,399604809728,4.0,3.5,0,7.5,True,2.08
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,315.04,866282504192,4.0,3.5,0,7.5,True,1.9
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,201.93,486508953600,4.0,3.5,0,7.5,True,2.58
SO,The Southern Company,Utilities,Utilities - Regulated Electric,86.28,95003328512,4.0,3.5,0,7.5,True,3.43
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,118.65,52583723008,4.0,3.5,0,7.5,True,1.69
AON,Aon plc,Financial Services,Insurance Brokers,345.2,74434306048,4.0,3.5,0,7.5,True,0.86
AFL,Aflac Incorporated,Financial Services,Insurance - Life,109.28,58446385152,4.0,3.5,0,7.5,True,2.23
WDC,Western Digital Corporation,Technology,Computer Hardware,168.89,57894735872,4.0,3.5,0,7.5,True,0.3
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,197.86,77746511872,4.0,3.5,0,7.5,True,3.44
CRM,"Salesforce, Inc.",Technology,Software - Application,260.57,249104924672,3.5,4.0,0,7.5,True,0.64
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,77.97,308066844672,4.0,3.5,0,7.5,True,2.1
ADSK,"Autodesk, Inc.",Technology,Software - Application,306.74,65335619584,3.0,4.5,0,7.5,True,0.0
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,117.54,62915121152,4.0,3.5,0,7.5,True,3.23
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,89.83,287765135360,4.0,3.5,0,7.5,True,2.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,125.08,217696616448,4.0,3.5,0,7.5,True,1.89
ADBE,Adobe Inc.,Technology,Software - Application,346.26,146883493888,3.0,4.5,0,7.5,True,0.0
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,26.03,147998982144,4.0,3.5,0,7.5,True,6.61
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,121.22,150410608640,4.0,3.5,0,7.5,True,2.61
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,116.52,90613088256,4.0,3.5,0,7.5,True,3.66
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,572.77,215194320896,4.0,3.5,0,7.5,True,0.3
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,1010.31,905699262464,4.0,3.5,0,7.5,True,0.59
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,295.0,117613641728,4.0,3.5,0,7.5,True,1.32
SRE,Sempra,Utilities,Utilities - Diversified,90.66,59172110336,4.0,3.5,0,7.5,True,2.85
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,83.13,173127335936,4.0,3.5,0,7.5,True,2.73
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,99.72,249078956032,4.0,3.5,0,7.5,True,3.41
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,181.82,89387081728,4.0,3.5,0,7.5,True,1.98
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,374.39,62374830080,4.0,3.5,0,7.5,True,1.29
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,114.02,80411557888,4.0,3.5,0,7.5,True,1.86
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,47.53,61286850560,4.0,3.5,0,7.5,True,4.38
C,Citigroup Inc.,Financial Services,Banks - Diversified,108.88,200436957184,4.0,3.5,0,7.5,True,2.2
USB,U.S. Bancorp,Financial Services,Banks - Regional,51.26,79770271744,4.0,3.5,0,7.5,True,4.06
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,329.89,177639391232,4.0,3.5,0,7.5,True,2.89
APH,Amphenol Corporation,Technology,Electronic Components,139.36,170584375296,4.0,3.5,0,7.5,True,0.72
UBER,"Uber Technologies, Inc.",Technology,Software - Application,91.32,190440423424,3.0,4.0,0,7.0,True,0.0
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,280.23,20160702464,4.0,3.0,0,7.0,True,0.31
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,257.66,70267224064,4.0,3.0,0,7.0,True,1.55
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,145.49,41246478336,4.0,3.0,0,7.0,True,0.7
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,45.42,30024652800,4.0,3.0,0,7.0,True,3.52
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,27.09,16706839552,4.0,3.0,0,7.0,True,1.85
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,296.46,15501853696,4.0,3.0,0,7.0,True,1.84
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,79.57,39717683200,4.0,3.0,0,7.0,True,3.17
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,82.47,37688791040,4.0,3.0,0,7.0,True,1.41
GL,Globe Life Inc.,Financial Services,Insurance - Life,131.37,10641434624,4.0,3.0,0,7.0,True,0.82
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,105.71,34386853888,4.0,3.0,0,7.0,True,3.6
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,143.45,335742631936,4.0,3.0,0,7.0,True,2.95
EIX,Edison International,Utilities,Utilities - Regulated Electric,58.09,22355007488,4.0,3.0,0,7.0,True,5.7
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,99.86,27011622912,4.0,3.0,0,7.0,True,2.84
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,278.79,60740550656,3.5,3.5,0,7.0,True,1.06
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,78.37,26757148672,4.0,3.0,0,7.0,True,0.84
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,65.5,16837017600,4.0,3.0,0,7.0,True,3.1
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,181.71,13203993600,4.0,3.0,0,7.0,True,1.28
CMCSA,Comcast Corporation,Communication Services,Telecom Services,27.31,100834156544,4.0,3.0,0,7.0,True,4.83
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,203.59,39189843968,4.0,3.0,0,7.0,True,1.77
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,55.46,23922614272,4.0,3.0,0,7.0,True,3.32
RF,Regions Financial Corporation,Financial Services,Banks - Regional,26.28,23449864192,4.0,3.0,0,7.0,True,4.03
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,58.49,49945391104,4.0,3.0,0,7.0,True,4.56
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,195.11,30489702400,4.0,3.0,0,7.0,True,3.08
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,16.9,26614173696,4.0,3.0,0,7.0,True,3.67
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,256.55,37447651328,4.0,3.0,0,7.0,True,0.94
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,171.29,27696451584,4.0,3.0,0,7.0,True,2.34
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,129.5,25268502528,4.0,3.0,0,7.0,True,2.56
WTRG,"Essential Utilities, Inc.",Utilities,Utilities - Regulated Water,38.0,10753070080,4.0,3.0,0,7.0,True,3.61
WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,320.7,31283642368,4.0,3.0,0,7.0,True,1.15
KEY,KeyCorp,Financial Services,Banks - Regional,19.26,21118896128,4.0,3.0,0,7.0,True,4.26
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,70.0,301256704000,4.0,3.0,0,7.0,True,2.91
T,AT&T Inc.,Communication Services,Telecom Services,25.28,180761755648,4.0,3.0,0,7.0,True,4.39
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,162.3,25379893248,4.0,3.0,0,7.0,True,2.14
TEL,TE Connectivity plc,Technology,Electronic Components,234.36,69032648704,4.0,2.5,0,6.5,False,1.21
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,61.68,9610527744,4.0,2.5,0,6.5,False,0.52
SYK,Stryker Corporation,Healthcare,Medical Devices,364.02,139209850880,4.0,2.5,0,6.5,False,0.92
BX,Blackstone Inc.,Financial Services,Asset Management,152.15,186696990720,4.0,2.5,0,6.5,False,3.08
V,Visa Inc.,Financial Services,Credit Services,331.24,642917597184,4.0,2.5,0,6.5,False,0.81
UMBF,UMB Financial Corporation,Financial Services,Banks - Regional,114.94,8730228736,4.0,2.5,0,6.5,False,1.5
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,330.91,299751047168,4.0,2.5,0,6.5,False,2.67
UNP,Union Pacific Corporation,Industrials,Railroads,235.31,139576688640,4.0,2.5,0,6.5,False,2.35
UBSI,"United Bankshares, Inc.",Financial Services,Banks - Regional,38.02,5338638848,4.0,2.5,0,6.5,False,4.0
BKH,Black Hills Corporation,Utilities,Utilities - Regulated Gas,69.94,5278609408,4.0,2.5,0,6.5,False,3.87
UGI,UGI Corporation,Utilities,Utilities - Regulated Gas,37.51,8061806592,4.0,2.5,0,6.5,False,3.99
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,268.0,213500166144,4.0,3.5,-1,6.5,False,0.69
TXN,Texas Instruments Incorporated,Technology,Semiconductors,182.54,165953896448,4.0,3.5,-1,6.5,False,3.11
BANF,BancFirst Corporation,Financial Services,Banks - Regional,109.35,3645091584,4.0,2.5,0,6.5,False,1.79
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,18.54,9530595328,4.0,2.5,0,6.5,False,2.8
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,193.96,55594262528,4.0,2.5,0,6.5,False,2.17
ATR,"AptarGroup, Inc.",Healthcare,Medical Instruments & Supplies,121.91,8031494656,4.0,2.5,0,6.5,False,1.57
AVGO,Broadcom Inc.,Technology,Semiconductors,390.24,1842855673856,4.0,3.5,-1,6.5,False,0.6
AWR,American States Water Company,Utilities,Utilities - Regulated Water,73.17,2832734208,4.0,2.5,0,6.5,False,2.76
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,202.27,53299224576,4.0,2.5,0,6.5,False,1.98
AXP,American Express Company,Financial Services,Credit Services,370.35,257719992320,4.0,2.5,0,6.5,False,0.85
AMT,American Tower Corporation,Real Estate,REIT - Specialty,178.86,83751411712,4.0,2.5,0,6.5,False,3.8
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,27.77,61781594112,4.0,2.5,0,6.5,False,4.21
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,1214.46,159925583872,4.0,3.5,-1,6.5,False,0.63
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,270.87,97675657216,4.0,2.5,0,6.5,False,1.85
CFR,"Cullen/Frost Bankers, Inc.",Financial Services,Banks - Regional,126.34,8126856192,4.0,2.5,0,6.5,False,3.17
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,311.23,222095114240,3.5,3.0,0,6.5,False,2.39
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,496.5,89051561984,4.0,2.5,0,6.5,False,0.76
LIN,Linde plc,Basic Materials,Specialty Chemicals,399.57,187362181120,4.0,2.5,0,6.5,False,1.5
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,280.89,63237849088,4.0,2.5,0,6.5,False,1.57
TMP,Tompkins Financial Corporation,Financial Services,Banks - Regional,71.69,1034780928,4.0,2.5,0,6.5,False,3.63
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,120.5,5325426176,4.0,2.5,0,6.5,False,1.13
CWT,California Water Service Group,Utilities,Utilities - Regulated Water,44.88,2674459392,4.0,2.5,0,6.5,False,2.67
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,75.63,96007176192,4.0,2.5,0,6.5,False,3.52
MU,"Micron Technology, Inc.",Technology,Semiconductors,237.22,266955472896,4.0,3.5,-1,6.5,False,0.19
MS,Morgan Stanley,Financial Services,Capital Markets,176.51,281769213952,4.0,2.5,0,6.5,False,2.27
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,93.82,170303881216,4.0,2.5,0,6.5,False,1.15
RLI,RLI Corp.,Financial Services,Insurance - Property & Casualty,62.47,5737109504,4.0,2.5,0,6.5,False,1.02
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,272.25,64031502336,3.5,3.0,0,6.5,False,0.22
HON,Honeywell International Inc.,Industrials,Conglomerates,191.33,128931487744,4.0,2.5,0,6.5,False,2.39
MET,"MetLife, Inc.",Financial Services,Insurance - Life,78.66,52310949888,4.0,2.5,0,6.5,False,2.89
MDT,Medtronic plc,Healthcare,Medical Devices,101.36,130005966848,4.0,2.5,0,6.5,False,2.8
ICE,"Intercontinental Exchange, Inc.",Financial Services,Financial Data & Stock Exchanges,157.82,90339819520,4.0,2.5,0,6.5,False,1.22
IBM,International Business Machines Corporation,Technology,Information Technology Services,307.94,287842369536,4.0,2.5,0,6.5,False,2.18
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,57.99,97416880128,3.5,3.0,0,6.5,False,7.31
MGEE,"MGE Energy, Inc.",Utilities,Utilities - Regulated Electric,78.66,2874381824,4.0,2.5,0,6.5,False,2.42
RBCAA,"Republic Bancorp, Inc.",Financial Services,Banks - Regional,69.07,1349446016,4.0,2.5,0,6.5,False,2.61
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,854.56,258693332992,4.0,2.5,0,6.5,False,1.87
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,337.53,91973541888,3.0,3.5,0,6.5,False,0.0
CBU,"Community Financial System, Inc.",Financial Services,Banks - Regional,58.67,3101124864,4.0,2.5,0,6.5,False,3.2
CBSH,"Commerce Bancshares, Inc.",Financial Services,Banks - Regional,52.24,7263211008,4.0,2.5,0,6.5,False,2.11
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,292.59,79425847296,3.5,3.0,0,6.5,False,0.92
MA,Mastercard Incorporated,Financial Services,Credit Services,545.52,493156564992,4.0,2.5,0,6.5,False,0.56
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,158.7,200125825024,4.0,3.5,-1,6.5,False,0.66
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,249.7,72787550208,4.0,2.5,0,6.5,False,2.58
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,466.76,88950636544,3.0,3.5,0,6.5,False,0.0
BLK,"BlackRock, Inc.",Financial Services,Asset Management,1072.16,166346604544,4.0,2.5,0,6.5,False,1.94
SRCE,1st Source Corporation,Financial Services,Banks - Regional,63.67,1562318848,4.0,2.5,0,6.5,False,2.51
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,182.56,68862910464,4.0,2.5,0,6.5,False,4.82
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,498.52,152198152192,4.0,2.5,0,6.5,False,0.77
