ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
INTU,Intuit Inc.,Technology,Software - Application,673.63,187538587648.0,4.0,4.5,0.0,8.5,True,0.67
SAP,SAP SE,Technology,Software - Application,247.26,288501563392.0,4.0,4.5,0.0,8.5,True,1.03
ORCL,Oracle Corporation,Technology,Software - Infrastructure,217.58,620275499008.0,4.0,4.5,0.0,8.5,True,0.92
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,261.63,105983565824.0,4.0,4.5,0.0,8.5,True,2.6
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,483.16,3591408713728.0,4.0,4.5,0.0,8.5,True,0.75
PAYX,"Paychex, Inc.",Technology,Software - Application,112.06,40329736192.0,4.0,4.0,0.0,8.0,True,3.86
ROP,"Roper Technologies, Inc.",Technology,Software - Application,447.56,48174206976.0,4.0,4.0,0.0,8.0,True,0.81
PEGA,Pegasystems Inc.,Technology,Software - Application,60.11,10283659264.0,4.0,4.0,0.0,8.0,True,0.2
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,117.27,23409246208.0,4.0,4.0,0.0,8.0,True,1.77
BSY,"Bentley Systems, Incorporated",Technology,Software - Application,43.19,13113820160.0,4.0,4.0,0.0,8.0,True,0.65
MFC,Manulife Financial Corporation,Financial Services,Insurance - Life,35.29,59438215168.0,4.0,3.5,0.0,7.5,True,3.55
HSBC,HSBC Holdings plc,Financial Services,Banks - Diversified,71.0,243756269568.0,4.0,3.5,0.0,7.5,True,2.82
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial Services,Banks - Diversified,16.28,185069060096.0,4.0,3.5,0.0,7.5,True,3.31
AFL,Aflac Incorporated,Financial Services,Insurance - Life,109.28,58446385152.0,4.0,3.5,0.0,7.5,True,2.23
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,295.0,117613641728.0,4.0,3.5,0.0,7.5,True,1.32
NGG,National Grid plc,Utilities,Utilities - Regulated Electric,75.41,74830028800.0,4.0,3.5,0.0,7.5,True,4.14
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,329.89,177639391232.0,4.0,3.5,0.0,7.5,True,2.89
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial Services,Banks - Diversified,21.8,124716752896.0,4.0,3.5,0.0,7.5,True,3.82
DB,Deutsche Bank Aktiengesellschaft,Financial Services,Banks - Regional,36.26,69842296832.0,4.0,3.5,0.0,7.5,True,2.14
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,118.65,52583723008.0,4.0,3.5,0.0,7.5,True,1.69
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,181.82,89387081728.0,4.0,3.5,0.0,7.5,True,1.98
RY,Royal Bank of Canada,Financial Services,Banks - Diversified,162.48,228274126848.0,4.0,3.5,0.0,7.5,True,2.88
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,26.03,147998982144.0,4.0,3.5,0.0,7.5,True,6.61
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,114.02,80411557888.0,4.0,3.5,0.0,7.5,True,1.86
ADEA,Adeia Inc.,Technology,Software - Application,12.51,1369972480.0,4.0,3.5,0.0,7.5,True,1.6
BCS,Barclays PLC,Financial Services,Banks - Diversified,23.22,80590520320.0,4.0,3.5,0.0,7.5,True,1.92
ING,ING Groep N.V.,Financial Services,Banks - Diversified,26.28,76276932608.0,4.0,3.5,0.0,7.5,True,4.46
OTEX,Open Text Corporation,Technology,Software - Application,33.52,8554564096.0,4.0,3.5,0.0,7.5,True,3.21
SMFG,"Sumitomo Mitsui Financial Group, Inc.",Financial Services,Banks - Diversified,18.96,121327722496.0,4.0,3.5,0.0,7.5,True,2.9
SO,The Southern Company,Utilities,Utilities - Regulated Electric,86.28,95003328512.0,4.0,3.5,0.0,7.5,True,3.43
SRE,Sempra,Utilities,Utilities - Diversified,90.66,59172110336.0,4.0,3.5,0.0,7.5,True,2.85
CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,77.01,2196338688.0,4.0,3.5,0.0,7.5,True,1.66
ITUB,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional,7.55,80828022784.0,4.0,3.5,0.0,7.5,True,7.64
ADBE,Adobe Inc.,Technology,Software - Application,346.26,146883493888.0,3.0,4.5,0.0,7.5,True,0.0
INFY,Infosys Limited,Technology,Information Technology Services,18.07,75928961024.0,4.0,3.5,0.0,7.5,True,2.87
BMO,Bank of Montreal,Financial Services,Banks - Diversified,128.85,93182435328.0,4.0,3.5,0.0,7.5,True,3.72
DOX,Amdocs Limited,Technology,Software - Infrastructure,77.07,8477083648.0,4.0,3.5,0.0,7.5,True,2.74
BNS,The Bank of Nova Scotia,Financial Services,Banks - Diversified,71.7,89342861312.0,4.0,3.5,0.0,7.5,True,4.39
HDB,HDFC Bank Limited,Financial Services,Banks - Regional,35.72,183153967104.0,4.0,3.5,0.0,7.5,True,1.05
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,53.95,399604809728.0,4.0,3.5,0.0,7.5,True,2.08
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,90.18,279609147392.0,4.0,3.5,0.0,7.5,True,1.74
IBN,ICICI Bank Limited,Financial Services,Banks - Regional,30.69,109859569664.0,4.0,3.5,0.0,7.5,True,0.84
ADSK,"Autodesk, Inc.",Technology,Software - Application,306.74,65335619584.0,3.0,4.5,0.0,7.5,True,0.0
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,116.52,90613088256.0,4.0,3.5,0.0,7.5,True,3.66
CM,Canadian Imperial Bank of Commerce,Financial Services,Banks - Diversified,91.16,84987068416.0,4.0,3.5,0.0,7.5,True,3.36
SNY,Sanofi,Healthcare,Drug Manufacturers - General,49.53,120898920448.0,4.0,3.5,0.0,7.5,True,4.43
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,89.83,287765135360.0,4.0,3.5,0.0,7.5,True,2.0
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,77.97,308066844672.0,4.0,3.5,0.0,7.5,True,2.1
