ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,333.11,83055419392,4.0,1.5,0,5.5,False,0.95
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,260.69,58027048960,4.0,1.5,0,5.5,False,2.75
FUL,H.B. Fuller Company,Basic Materials,Specialty Chemicals,58.15,3145268992,4.0,1.5,0,5.5,False,1.62
EXP,Eagle Materials Inc.,Basic Materials,Building Materials,222.09,7206664704,4.0,1.5,0,5.5,False,0.45
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,259.69,73654550528,4.0,1.5,0,5.5,False,1.12
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,101.03,22802470912,4.0,1.0,0,5.0,False,2.81
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,125.19,14734555136,4.0,1.0,0,5.0,False,1.29
MT,ArcelorMittal S.A.,Basic Materials,Steel,42.26,32142954496,4.0,1.0,0,5.0,False,1.3
NUE,Nucor Corporation,Basic Materials,Steel,159.45,36491513856,4.0,1.0,0,5.0,False,1.4
RPM,RPM International Inc.,Basic Materials,Specialty Chemicals,105.3,13509186560,4.0,1.0,0,5.0,False,2.05
