ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,311.23,222095114240,3.5,3.0,0,6.5,False,2.39
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,13.03,51918016512,4.0,2.0,0,6.0,False,4.6
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,354.61,353018314752,4.0,2.0,0,6.0,False,2.59
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,153.28,170591256576,4.0,2.0,0,6.0,False,1.11
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,65.86,97354342400,4.0,2.0,0,6.0,False,2.49
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,177.87,58176032768,4.0,2.0,0,6.0,False,0.91
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,229.53,2453725249536,3.0,2.5,0,5.5,False,0.0
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,85.12,96789954560,3.5,2.0,0,5.5,False,2.91
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,248.47,139379621888,3.5,2.0,0,5.5,False,1.93
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,130.24,18117750784,4.0,1.0,0,5.0,False,3.16
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,455.0,1513247735808,3.0,1.5,0,4.5,False,0.0
GME,GameStop Corp.,Consumer Cyclical,Specialty Retail,23.0,10301899776,3.0,1.0,0,4.0,False,0.0
NIO,NIO Inc.,Consumer Cyclical,Auto Manufacturers,5.04,12744441856,3.0,0.0,-1,2.0,False,0.0
