ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,143.45,335742631936,4.0,3.0,0,7.0,True,2.95
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,70.0,301256704000,4.0,3.0,0,7.0,True,2.91
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,57.99,97416880128,3.5,3.0,0,6.5,False,7.31
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,147.81,230086770688,3.5,3.0,0,6.5,False,3.98
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,145.02,198543589376,4.0,2.0,0,6.0,False,3.92
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,45.93,24558120960,4.0,2.0,0,6.0,False,5.31
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,894.68,396770082816,4.0,2.0,0,6.0,False,0.58
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,54.905,71044071424,4.0,2.0,0,6.0,False,3.64
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,78.07,63097798656,4.0,2.0,0,6.0,False,2.66
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,115.11,917754937344,4.0,2.0,0,6.0,False,0.82
UVV,Universal Corporation,Consumer Defensive,Tobacco,52.25,1302130432,4.0,1.5,0,5.5,False,6.28
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,59.7,8319476736,4.0,1.5,0,5.5,False,2.48
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,45.13,8924720128,4.0,1.5,0,5.5,False,4.17
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,17.05,8155895296,4.0,1.5,0,5.5,False,8.21
ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,50.01,1710865024,4.0,1.5,0,5.5,False,1.56
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,29.6,8820578304,4.0,1.5,0,5.5,False,5.27
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,56.92,20095838208,4.0,1.0,0,5.0,False,3.58
HSY,The Hershey Company,Consumer Defensive,Confectioners,182.3,36967727104,4.0,1.0,0,5.0,False,3.01
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,24.34,13386962944,4.0,1.0,0,5.0,False,4.81
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,59.01,28358418432,4.0,1.0,0,5.0,False,3.46
EMLAF,Empire Company Limited,Consumer Defensive,Grocery Stores,36.1,8197814272,3.5,1.5,0,5.0,False,1.74
EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,105.13,37884674048,4.0,1.0,0,5.0,False,1.33
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,63.3,16988179456,4.0,1.0,0,5.0,False,3.03
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,73.74,72045543424,3.0,2.0,0,5.0,False,0.0
TGT,Target Corporation,Consumer Defensive,Discount Stores,92.19,41891057664,4.0,1.0,0,5.0,False,4.95
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,73.1,35004743680,4.0,1.0,0,5.0,False,2.95
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,132.37,29135433728,4.0,1.0,0,5.0,False,1.78
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,142.37,24781875200,4.0,1.0,0,5.0,False,2.87
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,100.11,10681168896,4.0,1.0,0,5.0,False,4.4
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,84.52,20589807616,4.0,1.0,0,5.0,False,1.4
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,102.96,34168143872,4.0,1.0,0,5.0,False,4.9
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,62.71,41556549632,4.0,1.0,0,5.0,False,2.23
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,24.34,28810176512,4.0,1.0,0,5.0,False,6.57
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,28.69,38977753088,4.0,1.0,0,5.0,False,3.21
K,Kellanova,Consumer Defensive,Packaged Foods,83.14,28927119360,4.0,1.0,0,5.0,False,2.79
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,104.9,12795741184,3.5,1.0,0,4.5,False,4.73
LANC,LANC,Consumer Defensive,Packaged Foods,172.77,0,3.0,1.0,0,4.0,False,2.11
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,16.93,32489854976,3.5,0.0,0,3.5,False,4.9
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,122.44,24973821952,3.0,0.0,0,3.0,False,0.0
