ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,62.81,76704751616.0,4.0,2.5,0.0,6.5,False,3.18
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,34.66,72250531840.0,4.0,2.5,0.0,6.5,False,4.81
PBR,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,12.13,78170161152.0,4.0,2.5,0.0,6.5,False,13.87
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,112.17,61244080128.0,4.0,2.5,0.0,6.5,False,3.64
TRP,TC Energy Corporation,Energy,Oil & Gas Midstream,54.59,56901005312.0,4.0,2.5,0.0,6.5,False,4.42
MPLX,MPLX LP,Energy,Oil & Gas Midstream,55.86,56925024256.0,4.0,2.5,0.0,6.5,False,7.71
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,27.77,61781594112.0,4.0,2.5,0.0,6.5,False,4.21
CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,55.82,27019816960.0,4.0,2.0,0.0,6.0,False,5.89
WDS,Woodside Energy Group Ltd,Energy,Oil & Gas E&P,16.58,31520239616.0,4.0,2.0,0.0,6.0,False,6.39
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,37.47,23785957376.0,4.0,2.0,0.0,6.0,False,2.56
WES,"Western Midstream Partners, LP",Energy,Oil & Gas Midstream,39.99,16315749376.0,4.0,2.0,0.0,6.0,False,9.1
TS,Tenaris S.A.,Energy,Oil & Gas Equipment & Services,40.88,21199616000.0,4.0,2.0,0.0,6.0,False,4.16
PBA,Pembina Pipeline Corporation,Energy,Oil & Gas Midstream,39.56,22981668864.0,4.0,2.0,0.0,6.0,False,5.09
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,925.08,21257795584.0,4.0,2.0,0.0,6.0,False,0.69
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,158.6,45912498176.0,4.0,2.0,0.0,6.0,False,2.52
EQT,EQT Corporation,Energy,Oil & Gas E&P,60.68,37868384256.0,4.0,2.0,0.0,6.0,False,1.09
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,27.39,20902404096.0,4.0,2.0,0.0,6.0,False,3.21
VNOM,"Viper Energy, Inc.",Energy,Oil & Gas Midstream,40.65,13260259328.0,4.0,2.0,0.0,6.0,False,5.12
CCJ,Cameco Corporation,Energy,Uranium,91.27,39853228032.0,4.0,2.0,0.0,6.0,False,0.19
ET,Energy Transfer LP,Energy,Oil & Gas Midstream,16.8,57680896000.0,4.0,1.5,0.0,5.5,False,7.92
DEC,Diversified Energy Company,Energy,Oil & Gas Integrated,15.84,1252563968.0,4.0,1.5,0.0,5.5,False,7.32
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,29.88,2971262208.0,4.0,1.5,0.0,5.5,False,3.35
RES,"RPC, Inc.",Energy,Oil & Gas Equipment & Services,5.84,1288402560.0,4.0,1.5,0.0,5.5,False,2.74
DHT,"DHT Holdings, Inc.",Energy,Oil & Gas Midstream,12.76,2051800448.0,4.0,1.5,0.0,5.5,False,5.64
DKL,"Delek Logistics Partners, LP",Energy,Oil & Gas Refining & Marketing,45.82,2450471936.0,4.0,1.5,0.0,5.5,False,9.78
DK,"Delek US Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,36.41,2190149120.0,4.0,1.5,0.0,5.5,False,2.8
DINO,HF Sinclair Corporation,Energy,Oil & Gas Refining & Marketing,50.07,9367123968.0,4.0,1.5,0.0,5.5,False,3.99
HESM,Hess Midstream LP,Energy,Oil & Gas Midstream,34.22,7188382720.0,4.0,1.5,0.0,5.5,False,8.48
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,150.0,302223360000.0,4.0,1.5,0.0,5.5,False,4.56
RRC,Range Resources Corporation,Energy,Oil & Gas E&P,39.6,9432367104.0,4.0,1.5,0.0,5.5,False,0.91
