ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,53.95,399604809728,4.0,3.5,0,7.5,True,2.08
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,295.0,117613641728,4.0,3.5,0,7.5,True,1.32
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,315.04,866282504192,4.0,3.5,0,7.5,True,1.9
AFL,Aflac Incorporated,Financial Services,Insurance - Life,109.28,58446385152,4.0,3.5,0,7.5,True,2.23
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,78.37,26757148672,4.0,3.0,0,7.0,True,0.84
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,162.3,25379893248,4.0,3.0,0,7.0,True,2.14
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,296.46,15501853696,4.0,3.0,0,7.0,True,1.84
CBU,"Community Financial System, Inc.",Financial Services,Banks - Regional,58.67,3101124864,4.0,2.5,0,6.5,False,3.2
CFR,"Cullen/Frost Bankers, Inc.",Financial Services,Banks - Regional,126.34,8126856192,4.0,2.5,0,6.5,False,3.17
RLI,RLI Corp.,Financial Services,Insurance - Property & Casualty,62.47,5737109504,4.0,2.5,0,6.5,False,1.02
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,498.52,152198152192,4.0,2.5,0,6.5,False,0.77
TMP,Tompkins Financial Corporation,Financial Services,Banks - Regional,71.69,1034780928,4.0,2.5,0,6.5,False,3.63
OZK,Bank OZK,Financial Services,Banks - Regional,47.26,5287346688,4.0,2.5,0,6.5,False,3.81
UMBF,UMB Financial Corporation,Financial Services,Banks - Regional,114.94,8730228736,4.0,2.5,0,6.5,False,1.5
WABC,Westamerica Bancorporation,Financial Services,Banks - Regional,47.59,1211729792,4.0,2.5,0,6.5,False,3.87
V,Visa Inc.,Financial Services,Credit Services,331.24,642917597184,4.0,2.5,0,6.5,False,0.81
UBSI,"United Bankshares, Inc.",Financial Services,Banks - Regional,38.02,5338638848,4.0,2.5,0,6.5,False,4.0
SRCE,1st Source Corporation,Financial Services,Banks - Regional,63.67,1562318848,4.0,2.5,0,6.5,False,2.51
CBSH,"Commerce Bancshares, Inc.",Financial Services,Banks - Regional,52.24,7263211008,4.0,2.5,0,6.5,False,2.11
BANF,BancFirst Corporation,Financial Services,Banks - Regional,109.35,3645091584,4.0,2.5,0,6.5,False,1.79
MA,Mastercard Incorporated,Financial Services,Credit Services,545.52,493156564992,4.0,2.5,0,6.5,False,0.56
CTBI,"Community Trust Bancorp, Inc.",Financial Services,Banks - Regional,57.12,1034777216,4.0,2.5,0,6.5,False,3.71
RBCAA,"Republic Bancorp, Inc.",Financial Services,Banks - Regional,69.07,1349446016,4.0,2.5,0,6.5,False,2.61
PB,"Prosperity Bancshares, Inc.",Financial Services,Banks - Regional,70.63,6709880320,4.0,2.5,0,6.5,False,3.4
RNR,RenaissanceRe Holdings Ltd.,Financial Services,Insurance - Reinsurance,264.8,12463133696,4.0,2.0,0,6.0,False,0.6
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,106.58,23417251840,4.0,2.0,0,6.0,False,4.77
ORI,Old Republic International Corporation,Financial Services,Insurance - Property & Casualty,42.95,10671775744,4.0,2.0,0,6.0,False,2.7
SBSI,"Southside Bancshares, Inc.",Financial Services,Banks - Regional,30.54,918646528,4.0,2.0,0,6.0,False,4.72
SEIC,SEI Investments Company,Financial Services,Asset Management,81.1,10025992192,4.0,2.0,0,6.0,False,1.21
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,290.63,10987783168,4.0,2.0,0,6.0,False,1.51
FMCB,Farmers & Merchants Bancorp,Financial Services,Banks - Regional,1096.6,792130112,3.5,2.0,0,5.5,False,1.76
