ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,329.89,177639391232.0,4.0,3.5,0.0,7.5,True,2.89
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,118.65,52583723008.0,4.0,3.5,0.0,7.5,True,1.69
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,26.03,147998982144.0,4.0,3.5,0.0,7.5,True,6.61
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,90.18,279609147392.0,4.0,3.5,0.0,7.5,True,1.74
SNY,Sanofi,Healthcare,Drug Manufacturers - General,49.53,120898920448.0,4.0,3.5,0.0,7.5,True,4.43
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,121.22,150410608640.0,4.0,3.5,0.0,7.5,True,2.61
ABT,Abbott Laboratories,Healthcare,Medical Devices,125.08,217696616448.0,4.0,3.5,0.0,7.5,True,1.89
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,99.72,249078956032.0,4.0,3.5,0.0,7.5,True,3.41
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,201.93,486508953600.0,4.0,3.5,0.0,7.5,True,2.58
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,572.77,215194320896.0,4.0,3.5,0.0,7.5,True,0.3
NVS,Novartis AG,Healthcare,Drug Manufacturers - General,132.16,253587570688.0,4.0,3.5,0.0,7.5,True,3.02
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,47.86,212664926208.0,4.0,3.5,0.0,7.5,True,3.61
GSK,GSK plc,Healthcare,Drug Manufacturers - General,48.41,97718542336.0,4.0,3.5,0.0,7.5,True,3.49
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,1010.31,905699262464.0,4.0,3.5,0.0,7.5,True,0.59
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,145.49,41246478336.0,4.0,3.0,0.0,7.0,True,0.7
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,256.55,37447651328.0,4.0,3.0,0.0,7.0,True,0.94
RDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,14.19,11868736512.0,4.0,3.0,0.0,7.0,True,0.64
RPRX,Royalty Pharma plc,Healthcare,Biotechnology,39.73,23169513472.0,4.0,3.0,0.0,7.0,True,2.21
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,280.23,20160702464.0,4.0,3.0,0.0,7.0,True,0.31
CNMD,CONMED Corporation,Healthcare,Medical Devices,40.07,1240885888.0,4.0,2.5,0.0,6.5,False,2.0
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,18.54,9530595328.0,4.0,2.5,0.0,6.5,False,2.8
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,226.25,162006663168.0,4.0,2.5,0.0,6.5,False,0.57
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,330.75,74477723648.0,4.0,2.5,0.0,6.5,False,2.07
LMAT,"LeMaitre Vascular, Inc.",Healthcare,Medical Instruments & Supplies,84.53,1917647104.0,4.0,2.5,0.0,6.5,False,0.95
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,330.91,299751047168.0,4.0,2.5,0.0,6.5,False,2.67
MDT,Medtronic plc,Healthcare,Medical Devices,101.36,130005966848.0,4.0,2.5,0.0,6.5,False,2.8
USPH,"U.S. Physical Therapy, Inc.",Healthcare,Medical Care Facilities,75.03,1140765056.0,4.0,2.5,0.0,6.5,False,2.4
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,75.63,96007176192.0,4.0,2.5,0.0,6.5,False,3.52
ATR,"AptarGroup, Inc.",Healthcare,Medical Instruments & Supplies,121.91,8031494656.0,4.0,2.5,0.0,6.5,False,1.57
NHC,National HealthCare Corporation,Healthcare,Medical Care Facilities,134.73,2090369920.0,4.0,2.5,0.0,6.5,False,1.9
GRFS,"Grifols, S.A.",Healthcare,Drug Manufacturers - General,8.85,7301627904.0,4.0,2.5,0.0,6.5,False,1.99
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,52.15,106164527104.0,4.0,2.5,0.0,6.5,False,4.76
COR,"Cencora, Inc.",Healthcare,Medical Distribution,339.66,65891811328.0,4.0,2.5,0.0,6.5,False,0.71
PAHC,Phibro Animal Health Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,39.16,1587296128.0,4.0,2.5,0.0,6.5,False,1.23
BRKR,Bruker Corporation,Healthcare,Medical Devices,48.03,7297733120.0,4.0,2.5,0.0,6.5,False,0.42
CHE,Chemed Corporation,Healthcare,Medical Care Facilities,421.97,6148817920.0,4.0,2.5,0.0,6.5,False,0.52
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,120.5,5325426176.0,4.0,2.5,0.0,6.5,False,1.13
SYK,Stryker Corporation,Healthcare,Medical Devices,364.02,139209850880.0,4.0,2.5,0.0,6.5,False,0.92
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,61.68,9610527744.0,4.0,2.5,0.0,6.5,False,0.52
PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers - Specialty & Generic,13.44,1849666688.0,4.0,2.5,0.0,6.5,False,8.63
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,193.96,55594262528.0,4.0,2.5,0.0,6.5,False,2.17
CI,The Cigna Group,Healthcare,Healthcare Plans,265.44,70905880576.0,4.0,2.5,0.0,6.5,False,2.28
XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,11.25,2244959744.0,4.0,2.5,0.0,6.5,False,5.69
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,226.08,399570305024.0,3.5,2.5,0.0,6.0,False,3.06
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,94.28,18684557312.0,4.0,2.0,0.0,6.0,False,1.02
STE,STERIS plc,Healthcare,Medical Devices,263.28,25930606592.0,4.0,2.0,0.0,6.0,False,0.96
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,10.93,12618327040.0,4.0,2.0,0.0,6.0,False,4.39
SPOK,"Spok Holdings, Inc.",Healthcare,Health Information Services,13.02,268188160.0,4.0,2.0,0.0,6.0,False,9.6
ENSG,"The Ensign Group, Inc.",Healthcare,Medical Care Facilities,177.97,10308874240.0,4.0,2.0,0.0,6.0,False,0.14
NRC,National Research Corporation,Healthcare,Health Information Services,15.87,366017984.0,4.0,2.0,0.0,6.0,False,3.28
MCK,McKesson Corporation,Healthcare,Medical Distribution,808.62,100579704832.0,3.5,2.5,0.0,6.0,False,0.41
SNN,Smith & Nephew plc,Healthcare,Medical Devices,33.48,14209313792.0,4.0,2.0,0.0,6.0,False,2.28
SLP,"Simulations Plus, Inc.",Healthcare,Health Information Services,19.64,395639232.0,4.0,2.0,0.0,6.0,False,1.76
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,575.34,206245888000.0,3.0,3.0,0.0,6.0,False,0.0
FBIOP,"Fortress Biotech, Inc.",Healthcare,Biotechnology,7.45,39990632.0,4.0,2.0,0.0,6.0,False,25.97
FMS,Fresenius Medical Care AG,Healthcare,Medical Care Facilities,23.25,13477975040.0,4.0,2.0,0.0,6.0,False,3.39
EHC,Encompass Health Corporation,Healthcare,Medical Care Facilities,112.5,11331430400.0,4.0,2.0,0.0,6.0,False,0.68
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,231.08,14705629184.0,4.0,2.0,0.0,6.0,False,0.35
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,486.7,113884643328.0,3.5,2.5,0.0,6.0,False,0.59
PHG,Koninklijke Philips N.V.,Healthcare,Medical Devices,27.05,25723981824.0,4.0,2.0,0.0,6.0,False,3.58
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,100.79,11698955264.0,4.0,2.0,0.0,6.0,False,0.28
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,455.48,116780818432.0,3.0,3.0,0.0,6.0,False,0.0
UTMD,"Utah Medical Products, Inc.",Healthcare,Medical Instruments & Supplies,56.01,179552544.0,4.0,2.0,0.0,6.0,False,2.21
HUM,Humana Inc.,Healthcare,Healthcare Plans,257.85,31012411392.0,4.0,2.0,0.0,6.0,False,1.37
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,182.51,20408895488.0,4.0,2.0,0.0,6.0,False,1.75
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,718.36,76137136128.0,3.5,2.5,0.0,6.0,False,0.49
TAK,Takeda Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,14.18,47187509248.0,4.0,2.0,0.0,6.0,False,4.66
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,86.19,50602151936.0,3.0,2.5,0.0,5.5,False,0.0
QGEN,Qiagen N.V.,Healthcare,Diagnostics & Research,47.01,10193694720.0,3.5,2.0,0.0,5.5,False,0.53
BGMSP,"Bio Green Med Solution, Inc.",Healthcare,Biotechnology,4.17,0.0,3.5,2.0,0.0,5.5,False,14.39
AZTA,"Azenta, Inc.",Healthcare,Medical Instruments & Supplies,35.05,1607357184.0,3.0,2.5,0.0,5.5,False,0.0
HCSG,"Healthcare Services Group, Inc.",Healthcare,Medical Care Facilities,18.88,1367152256.0,3.0,2.5,0.0,5.5,False,0.0
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,714.1,57131352064.0,3.0,2.5,0.0,5.5,False,0.0
ARGX,argenx SE,Healthcare,Biotechnology,901.17,56121487360.0,3.0,2.5,0.0,5.5,False,0.0
