ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
HON,Honeywell International Inc.,Industrials,Conglomerates,191.33,128931487744.0,4.0,2.5,0.0,6.5,False,2.39
RELX,RELX PLC,Industrials,Specialty Business Services,40.32,73324773376.0,4.0,2.5,0.0,6.5,False,2.15
CNI,Canadian National Railway Company,Industrials,Railroads,98.16,61492076544.0,4.0,2.5,0.0,6.5,False,2.59
UNP,Union Pacific Corporation,Industrials,Railroads,235.31,139576688640.0,4.0,2.5,0.0,6.5,False,2.35
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,880.0,111358779392.0,4.0,2.5,0.0,6.5,False,0.82
TRI,Thomson Reuters Corporation,Industrials,Specialty Business Services,133.42,60309929984.0,4.0,2.5,0.0,6.5,False,1.78
CSX,CSX Corporation,Industrials,Railroads,36.3,67673251840.0,4.0,2.5,0.0,6.5,False,1.43
CTAS,Cintas Corporation,Industrials,Specialty Business Services,186.75,75251007488.0,4.0,2.5,0.0,6.5,False,0.96
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,249.7,72787550208.0,4.0,2.5,0.0,6.5,False,2.58
CP,Canadian Pacific Kansas City Limited,Industrials,Railroads,73.76,67477864448.0,4.0,2.5,0.0,6.5,False,0.89
NSC,Norfolk Southern Corporation,Industrials,Railroads,294.19,66012303360.0,4.0,2.5,0.0,6.5,False,1.84
FER,Ferrovial SE,Industrials,Engineering & Construction,66.03,47296167936.0,4.0,2.0,0.0,6.0,False,1.58
CR,Crane Company,Industrials,Specialty Industrial Machinery,187.79,10816118784.0,4.0,2.0,0.0,6.0,False,0.49
NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,107.72,17381650432.0,4.0,2.0,0.0,6.0,False,0.74
GGG,Graco Inc.,Industrials,Specialty Industrial Machinery,83.47,13838834688.0,4.0,2.0,0.0,6.0,False,1.41
FTAI,FTAI Aviation Ltd.,Industrials,Rental & Leasing Services,177.02,18157459456.0,4.0,2.0,0.0,6.0,False,0.71
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,155.15,32607586304.0,4.0,2.0,0.0,6.0,False,0.72
GFL,GFL Environmental Inc.,Industrials,Waste Management,44.72,16088538112.0,4.0,2.0,0.0,6.0,False,0.14
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,347.21,18111643648.0,4.0,2.0,0.0,6.0,False,2.81
CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,323.68,13837557760.0,4.0,2.0,0.0,6.0,False,1.36
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",Industrials,Airports & Air Services,227.18,11498761216.0,4.0,2.0,0.0,6.0,False,3.88
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,199.8,46144602112.0,4.0,2.0,0.0,6.0,False,0.62
GPN,Global Payments Inc.,Industrials,Specialty Business Services,78.85,19129569280.0,4.0,2.0,0.0,6.0,False,1.27
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,191.09,26208608256.0,4.0,2.0,0.0,6.0,False,1.09
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,54.29,46202032128.0,4.0,2.0,0.0,6.0,False,1.77
ALLE,Allegion plc,Industrials,Security & Protection Services,159.08,13685962752.0,4.0,2.0,0.0,6.0,False,1.28
FAST,Fastenal Company,Industrials,Industrial Distribution,41.5,47643480064.0,4.0,2.0,0.0,6.0,False,2.12
MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,113.49,12598936576.0,4.0,2.0,0.0,6.0,False,0.88
LII,Lennox International Inc.,Industrials,Building Products & Equipment,511.63,17970634752.0,4.0,2.0,0.0,6.0,False,1.02
WMS,"Advanced Drainage Systems, Inc.",Industrials,Building Products & Equipment,148.92,11580687360.0,4.0,2.0,0.0,6.0,False,0.48
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,221.24,30910541824.0,4.0,2.0,0.0,6.0,False,0.81
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,238.93,13501682688.0,4.0,2.0,0.0,6.0,False,1.37
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,104.25,17089833984.0,4.0,2.0,0.0,6.0,False,0.96
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,440.53,23411857408.0,4.0,2.0,0.0,6.0,False,1.29
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,44.63,2778575616.0,4.0,1.5,0.0,5.5,False,2.38
ZWS,Zurn Elkay Water Solutions Corporation,Industrials,Pollution & Treatment Controls,46.86,7851510784.0,4.0,1.5,0.0,5.5,False,0.81
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,337.66,131451035648.0,4.0,1.5,0.0,5.5,False,1.23
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,107.29,5262040576.0,4.0,1.5,0.0,5.5,False,0.19
MGRC,McGrath RentCorp,Industrials,Rental & Leasing Services,103.11,2537707776.0,4.0,1.5,0.0,5.5,False,1.88
WM,"Waste Management, Inc.",Industrials,Waste Management,213.58,86044344320.0,4.0,1.5,0.0,5.5,False,1.55
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,475.11,128436199424.0,4.0,1.5,0.0,5.5,False,1.36
PRG,"PROG Holdings, Inc.",Industrials,Rental & Leasing Services,29.56,1168967680.0,4.0,1.5,0.0,5.5,False,1.76
BCO,The Brink's Company,Industrials,Security & Protection Services,116.69,4861572608.0,4.0,1.5,0.0,5.5,False,0.87
R,"Ryder System, Inc.",Industrials,Rental & Leasing Services,186.39,7602966528.0,4.0,1.5,0.0,5.5,False,1.85
BBU,Brookfield Business Partners L.P.,Industrials,Conglomerates,35.62,3158636544.0,4.0,1.5,0.0,5.5,False,0.7
POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,342.13,4137064448.0,4.0,1.5,0.0,5.5,False,0.31
POOL,Pool Corporation,Industrials,Industrial Distribution,239.52,8938408960.0,4.0,1.5,0.0,5.5,False,2.09
PRIM,Primoris Services Corporation,Industrials,Engineering & Construction,125.66,6789705728.0,4.0,1.5,0.0,5.5,False,0.25
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,460.64,68688744448.0,4.0,1.5,0.0,5.5,False,0.1
HI,"Hillenbrand, Inc.",Industrials,Specialty Industrial Machinery,31.84,2244936960.0,4.0,1.5,0.0,5.5,False,2.86
PLPC,Preformed Line Products Company,Industrials,Electrical Equipment & Parts,217.27,1070023040.0,4.0,1.5,0.0,5.5,False,0.37
REVG,"REV Group, Inc.",Industrials,Farm & Heavy Construction Machinery,56.39,2752178432.0,4.0,1.5,0.0,5.5,False,0.43
HLIO,"Helios Technologies, Inc.",Industrials,Specialty Industrial Machinery,54.19,1796606592.0,4.0,1.5,0.0,5.5,False,0.66
AZZ,AZZ Inc.,Industrials,Specialty Business Services,105.15,3160502272.0,4.0,1.5,0.0,5.5,False,0.7
ICFI,"ICF International, Inc.",Industrials,Consulting Services,85.06,1568160384.0,4.0,1.5,0.0,5.5,False,0.66
RHI,Robert Half Inc.,Industrials,Staffing & Employment Services,26.8,2726596096.0,4.0,1.5,0.0,5.5,False,8.81
DLB,"Dolby Laboratories, Inc.",Industrials,Specialty Business Services,67.0,6421560320.0,4.0,1.5,0.0,5.5,False,2.15
RRX,Regal Rexnord Corporation,Industrials,Specialty Industrial Machinery,145.63,9668328448.0,4.0,1.5,0.0,5.5,False,0.96
RSG,"Republic Services, Inc.",Industrials,Waste Management,216.53,67604086784.0,4.0,1.5,0.0,5.5,False,1.15
AWI,"Armstrong World Industries, Inc.",Industrials,Building Products & Equipment,183.87,7953909248.0,4.0,1.5,0.0,5.5,False,0.69
SBLK,Star Bulk Carriers Corp.,Industrials,Marine Shipping,20.45,2337690368.0,4.0,1.5,0.0,5.5,False,1.47
SEB,Seaboard Corporation,Industrials,Conglomerates,4400.84,4221259264.0,4.0,1.5,0.0,5.5,False,0.2
GRC,The Gorman-Rupp Company,Industrials,Specialty Industrial Machinery,46.25,1216968960.0,4.0,1.5,0.0,5.5,False,1.64
SFL,SFL Corporation Ltd.,Industrials,Marine Shipping,8.31,1201318016.0,4.0,1.5,0.0,5.5,False,9.63
GVA,Granite Construction Incorporated,Industrials,Engineering & Construction,108.08,4732407808.0,4.0,1.5,0.0,5.5,False,0.48
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,110.33,57945796608.0,4.0,1.5,0.0,5.5,False,1.2
CSW,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,304.27,5112486912.0,4.0,1.5,0.0,5.5,False,0.35
ASTE,"Astec Industries, Inc.",Industrials,Farm & Heavy Construction Machinery,45.22,1034445504.0,4.0,1.5,0.0,5.5,False,1.15
OTTR,Otter Tail Corporation,Industrials,Conglomerates,82.13,3441700352.0,4.0,1.5,0.0,5.5,False,2.56
OSK,Oshkosh Corporation,Industrials,Farm & Heavy Construction Machinery,129.43,8283559936.0,4.0,1.5,0.0,5.5,False,1.58
GIC,Global Industrial Company,Industrials,Industrial Distribution,28.12,1082450688.0,4.0,1.5,0.0,5.5,False,3.7
BRC,Brady Corporation,Industrials,Security & Protection Services,77.84,3672236032.0,4.0,1.5,0.0,5.5,False,1.25
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Industrials,Airports & Air Services,301.05,9083062272.0,4.0,1.5,0.0,5.5,False,8.54
SNDR,"Schneider National, Inc.",Industrials,Trucking,25.95,4549024768.0,4.0,1.5,0.0,5.5,False,1.46
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",Industrials,Airports & Air Services,101.76,4912074752.0,4.0,1.5,0.0,5.5,False,4.82
ARMK,Aramark,Industrials,Specialty Business Services,37.95,9978349568.0,4.0,1.5,0.0,5.5,False,1.26
