ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,127.98,118876405760.0,4.0,2.5,0.0,6.5,False,3.16
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,164.73,57606828032.0,4.0,2.5,0.0,6.5,False,2.96
AMT,American Tower Corporation,Real Estate,REIT - Specialty,178.86,83751411712.0,4.0,2.5,0.0,6.5,False,3.8
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,182.56,68862910464.0,4.0,2.5,0.0,6.5,False,4.82
O,Realty Income Corporation,Real Estate,REIT - Retail,58.48,53796089856.0,4.0,2.5,0.0,6.5,False,5.53
CPT,Camden Property Trust,Real Estate,REIT - Residential,103.88,11099860992.0,4.0,2.0,0.0,6.0,False,4.04
SUI,"Sun Communities, Inc.",Real Estate,REIT - Residential,128.23,16497111040.0,4.0,2.0,0.0,6.0,False,3.24
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,131.67,15804533760.0,4.0,2.0,0.0,6.0,False,4.6
OHI,"Omega Healthcare Investors, Inc.",Real Estate,REIT - Healthcare Facilities,45.73,13889984512.0,4.0,2.0,0.0,6.0,False,5.86
GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,REIT - Specialty,41.89,11855219712.0,4.0,2.0,0.0,6.0,False,7.45
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,30.83,13025146880.0,4.0,2.0,0.0,6.0,False,3.89
NLY,"Annaly Capital Management, Inc.",Real Estate,REIT - Mortgage,22.87,15620924416.0,4.0,2.0,0.0,6.0,False,12.24
LAMR,Lamar Advertising Company,Real Estate,REIT - Specialty,132.85,13455524864.0,4.0,2.0,0.0,6.0,False,4.67
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,27.14,16637378560.0,4.0,2.0,0.0,6.0,False,4.27
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,129.56,28710684672.0,4.0,2.0,0.0,6.0,False,5.0
EQR,Equity Residential,Real Estate,REIT - Residential,61.06,24030889984.0,4.0,2.0,0.0,6.0,False,4.54
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,178.02,25347026944.0,4.0,2.0,0.0,6.0,False,3.93
ELS,"Equity LifeStyle Properties, Inc.",Real Estate,REIT - Residential,61.69,12516226048.0,4.0,2.0,0.0,6.0,False,3.34
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,10.62,11392329728.0,4.0,2.0,0.0,6.0,False,13.56
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,27.73,29638139904.0,4.0,2.0,0.0,6.0,False,6.36
REG,Regency Centers Corporation,Real Estate,REIT - Retail,68.7,12640636928.0,4.0,2.0,0.0,6.0,False,4.4
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,255.37,17638014976.0,4.0,2.0,0.0,6.0,False,4.03
WPC,W. P. Carey Inc.,Real Estate,REIT - Diversified,66.31,14531506176.0,4.0,2.0,0.0,6.0,False,5.49
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,20.13,13631937536.0,4.0,2.0,0.0,6.0,False,5.17
PSA,Public Storage,Real Estate,REIT - Industrial,272.06,47736467456.0,4.0,2.0,0.0,6.0,False,4.41
ESRT,"Empire State Realty Trust, Inc.",Real Estate,REIT - Diversified,6.75,2004642432.0,4.0,1.5,0.0,5.5,False,2.07
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,13.5,1371685376.0,4.0,1.5,0.0,5.5,False,4.15
CIM,Chimera Investment Corporation,Real Estate,REIT - Mortgage,12.95,1076810752.0,4.0,1.5,0.0,5.5,False,11.43
CIGI,Colliers International Group Inc.,Real Estate,Real Estate Services,146.01,7437941760.0,4.0,1.5,0.0,5.5,False,0.21
DEI,"Douglas Emmett, Inc.",Real Estate,REIT - Office,11.84,2403070976.0,4.0,1.5,0.0,5.5,False,6.42
DEA,"Easterly Government Properties, Inc.",Real Estate,REIT - Office,21.44,1105101440.0,4.0,1.5,0.0,5.5,False,8.4
RLJ,RLJ Lodging Trust,Real Estate,REIT - Hotel & Motel,7.32,1111592576.0,4.0,1.5,0.0,5.5,False,8.2
BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail,30.25,1041332544.0,4.0,1.5,0.0,5.5,False,7.8
PMT,PennyMac Mortgage Investment Trust,Real Estate,REIT - Mortgage,12.7,1105110912.0,4.0,1.5,0.0,5.5,False,12.6
REXR,"Rexford Industrial Realty, Inc.",Real Estate,REIT - Industrial,40.73,9971833856.0,4.0,1.5,0.0,5.5,False,4.22
DHC,Diversified Healthcare Trust,Real Estate,REIT - Healthcare Facilities,4.77,1155041024.0,4.0,1.5,0.0,5.5,False,0.84
RITM,Rithm Capital Corp.,Real Estate,REIT - Mortgage,11.34,6284590592.0,4.0,1.5,0.0,5.5,False,8.82
RHP,"Ryman Hospitality Properties, Inc.",Real Estate,REIT - Hotel & Motel,91.74,5779993600.0,4.0,1.5,0.0,5.5,False,5.07
HIW,"Highwoods Properties, Inc.",Real Estate,REIT - Office,26.03,2916532480.0,4.0,1.5,0.0,5.5,False,7.68
RYN,Rayonier Inc.,Real Estate,REIT - Specialty,21.51,3353797632.0,4.0,1.5,0.0,5.5,False,5.07
PGRE,"Paramount Group, Inc.",Real Estate,REIT - Office,6.57,1565090944.0,4.0,1.5,0.0,5.5,False,2.3
SBRA,"Sabra Health Care REIT, Inc.",Real Estate,REIT - Healthcare Facilities,19.28,4807461888.0,4.0,1.5,0.0,5.5,False,6.22
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,REIT - Industrial,50.14,1405072000.0,4.0,1.5,0.0,5.5,False,15.16
PEB,Pebblebrook Hotel Trust,Real Estate,REIT - Hotel & Motel,10.78,1278230912.0,4.0,1.5,0.0,5.5,False,0.37
