ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
RZB,"Reinsurance Group of America, Incorporated",,,24.85,8734750720.0,2.5,0.5,0.0,3.0,False,0.0
FGMCR,FG Merger II Corp.,,,0.3749,0.0,2.5,0.0,0.0,2.5,False,0.0
XELLL,Xcel Energy Inc.,,,24.995,0.0,2.5,0.0,0.0,2.5,False,0.0
RANGR,Range Capital Acquisition Corp.,,,0.45,0.0,2.5,0.0,0.0,2.5,False,0.0
RIBBR,Ribbon Acquisition Corp.,,,0.24,1252800.0,2.5,0.0,0.0,2.5,False,0.0
FSSL,FS Specialty Lending Fund,,,13.49,0.0,2.5,0.0,0.0,2.5,False,0.0
FSHPR,Flag Ship Acquisition Corporation,,,0.18,0.0,2.5,0.0,0.0,2.5,False,0.0
ADAMH,"Adamas Trust, Inc.",,,25.77,0.0,2.5,0.0,0.0,2.5,False,0.0
GAINI,Gladstone Investment Corporation,,,25.64,0.0,2.5,0.0,0.0,2.5,False,0.0
ADAMG,"Adamas Trust, Inc.",,,25.3099,0.0,2.5,0.0,0.0,2.5,False,0.0
GENVR,Gen Digital Inc.,,,5.2,0.0,2.5,0.0,0.0,2.5,False,0.0
GLIBR,"GCI Liberty, Inc.",,,3.75,0.0,2.5,0.0,0.0,2.5,False,0.0
FCRX,"Crescent Capital BDC, Inc.",,,25.0501,0.0,2.5,0.0,0.0,2.5,False,0.0
UYSCR,UY Scuti Acquisition Corp.,,,0.25,0.0,2.5,0.0,0.0,2.5,False,0.0
DCOMG,"Dime Community Bancshares, Inc.",,,25.9996,0.0,2.5,0.0,0.0,2.5,False,0.0
HTFB,Horizon Technology Finance Corporation,,,25.15,0.0,2.5,0.0,0.0,2.5,False,0.0
PRHIZ,"Presurance Holdings, Inc.",,,19.58,0.0,2.5,0.0,0.0,2.5,False,0.0
IBACR,IB Acquisition Corp.,,,0.0625,0.0,2.5,0.0,0.0,2.5,False,0.0
